Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
A1CF,29974,6.01399,6.031417,6.069579,5.806502,6.171553,6.307466,5.979069,6.404273,6.270654,6.362876,6.854886,6.230937,6.137863,6.011628,5.843826,6.499661,6.481198,5.963885,6.096206,6.228582,5.900788,5.456985,5.977408,6.180851,6.542677,6.003107,6.9502,6.474259,6.542107,7.050981,5.680468
A2M,2,9.999469,9.992793,9.681458,9.228319,10.24234,9.624342,9.977144,9.639127,9.90932,9.793078,9.096155,9.742465,9.9372,10.34167,10.61126,10.0331,8.962843,10.32457,9.383839,9.150724,9.733243,10.64245,10.10774,10.52229,9.092808,9.896926,8.039921,9.587784,9.540119,9.493676,9.97217
A4GALT,53947,5.177531,5.133735,5.313433,4.967846,5.230078,5.339385,5.259061,5.128209,5.606744,5.339385,5.882232,5.144216,5.291647,5.066121,5.422819,5.198567,5.504299,5.33531,5.654068,5.381545,5.544489,5.372347,5.503962,5.537311,5.296088,5.201534,5.763684,5.502055,5.399458,5.613942,5.250575
A4GNT,51146,5.282019,5.154362,5.308706,5.329959,5.475642,5.268902,5.342928,5.514093,5.391642,5.436487,5.673656,5.400759,5.45257,5.351989,5.347837,5.737859,5.600899,5.38107,5.561116,5.386362,5.292115,5.31692,5.358014,5.409627,5.333503,5.409627,5.561577,5.489133,5.674364,5.462762,5.291501
AAAS,8086,7.748297,7.309856,7.217436,7.245253,7.698633,7.673457,7.5609,7.674527,7.765415,7.411207,7.758837,7.420757,7.654584,7.51258,7.669622,7.61482,7.781512,7.75479,7.60638,7.480589,7.785032,7.656138,7.819013,7.907023,7.1574,7.150868,7.518022,7.60638,7.805809,7.60638,7.529314
AACS,65985,7.770471,8.402352,8.191507,8.521101,7.619749,7.772531,8.015247,7.53172,7.728338,7.877522,7.529549,7.852462,7.651184,7.719537,7.388132,8.048963,7.764242,8.109674,8.00077,8.291613,7.913355,7.774484,7.856134,7.198788,7.809026,7.58569,7.325973,7.970392,6.978647,7.433222,7.33188
AADAC,13,4.678348,4.514818,4.79903,4.372816,4.630693,4.715859,4.635158,4.776812,4.712697,4.678348,5.074008,4.590789,4.831852,4.661645,4.647756,4.797396,4.837916,4.659089,4.759773,4.750892,4.672553,4.497142,4.662757,4.724491,4.574182,4.552119,5.188872,4.594706,4.760073,4.856878,4.617066
AAGAB,79719,6.226451,6.464574,6.7253265,6.537442,6.3794485,6.358456,6.5992075,6.209061,6.200436,6.391855,6.523935,6.478823,6.3689905,6.343774,6.3876105,6.581946,6.559337,6.4158325,6.3903795,6.6010265,6.3788285,6.407645,6.315868,6.239896,6.262899,6.304191,6.4860305,6.410381,6.5494595,6.401259,6.4874385
AAK1,22848,7.1813074,7.7993194,7.7849198,7.5379088,7.036569,7.2376008,7.4762132,7.0130306,7.121036,7.3550276,7.3472566,7.3674614,7.1436692,6.9330542,6.9992496,7.3544,7.1590804,7.3017842,7.1685242,7.377671,6.970068,6.7101848,7.0446562,6.48182,7.207156,7.1354994,7.2653688,7.3682548,6.6377342,6.9885292,7.3731346
AAMDC,28971,5.704679,5.604081667,5.796783333,5.654331667,5.811236667,5.793334667,5.707275333,5.797174,5.799085,5.87257,5.899489333,5.597534333,5.862634667,6.085429,5.861596333,5.761283667,6.001358667,5.783459333,5.867869333,5.776131,5.788024,5.964230667,5.955983,5.919628333,5.729545667,5.760461667,6.036193,5.624105,6.045147333,5.950326667,5.930833
AAMP,14,7.457713,7.229174,7.029158,7.669575,7.139134,7.469794,7.471044,7.097941,7.07083,6.886138,7.269721,7.672338,7.319344,7.431548,7.366888,7.324934,7.060106,7.420999,6.956418,7.371515,7.104372,7.343656,7.029173,6.778613,6.797458,7.57314,7.036149,7.062777,7.082988,6.856468,7.480708
AANAT,15,4.657456,4.658221,4.725125,4.695668,4.474613,4.693454,4.698908,4.606645,4.591984,4.761132,5.068662,4.499756,4.500152,4.614246,4.663186,4.699549,4.663186,4.704886,4.450715,4.665493,4.616595,4.653814,4.659251,4.657778,4.663186,4.715945,4.850391,4.806831,4.630184,4.748397,4.653164
AAR2,25980,7.563666,7.481308,7.527082,7.534712,7.516391,7.563666,7.465829,7.663421,7.556797,7.658812,7.659163,7.434681,7.434925,7.728872,7.642339,7.490008,7.547527,7.617305,7.563666,7.416047,7.255872,7.64819,7.65919,7.794511,7.725375,7.483736,7.581182,7.55807,7.701388,7.469658,7.737476
AARS1,16,9.197392253,9.154600906,9.135656086,9.635615964,9.264968497,9.282642905,9.471923774,9.32642205,9.021254235,9.164146007,8.668254459,9.152129054,9.160133719,9.549778924,9.003446144,9.464744693,8.789081724,9.166342722,9.008981769,9.266089579,9.069595526,9.001584888,9.074686569,9.182309951,9.370892281,9.922813449,8.981482955,9.135656086,8.973339993,8.920274992,9.275660372
AASDHPPT,60496,7.71959,7.864112,7.8793885,8.285146,7.4102525,7.641169,8.1441335,7.204903,7.0029435,7.296842,6.053432,8.182801,7.901618,7.740953,7.496337,7.7024975,6.8323595,7.479728,7.5709015,7.6502755,7.335817,7.649388,7.2814375,6.892969,7.0158975,7.915303,5.74245,7.2135865,6.7028265,6.369353,7.969206
AASS,10157,4.7273695,4.4184745,4.805471,4.7828165,4.8389685,4.7050455,4.8044165,4.8150075,4.9498745,4.8722875,5.0087125,4.7033175,5.1045325,4.98942,5.1035385,4.7324635,5.187098,4.7758085,4.9090255,4.8502365,4.92675,5.1639205,4.7950405,5.007665,4.651278,4.535444,5.105988,4.5515925,5.033127,4.7912765,5.26682
AATF,26574,8.230399,8.037505,8.068072,7.946042,8.49615,8.464327,7.938203,8.248846,8.189747,8.169033,8.215355,8.085877,8.046454,8.362919,8.347616,8.098631,8.335,8.245662,8.703868,8.208985,8.197214,8.133218,9.043987,8.430488,8.2644,8.423314,8.551038,7.849625,8.24499,8.240393,7.984401
AATK,9625,9.274271,9.500573,9.453149,9.350741,9.668526,9.338225,9.28598,9.661935,9.517667,9.721109,9.599878,9.462694,9.424898,9.878173,9.652195,9.544841,9.960474,9.680262,9.723215,9.643372,9.366662,9.296912,9.723769,9.729324,9.727624,8.905613,10.36379,9.453385,10.05954,9.853109,9.743668
ABAT,18,8.3015,8.597275667,8.713904333,8.775705333,8.096357667,8.353965667,8.518085333,8.153870667,8.251982333,8.3856,7.52332,8.191713333,8.28116,8.243436,8.290087333,8.470111667,8.098883667,8.185242667,8.27983,8.715238,8.364029,8.449793333,8.204826667,8.017388333,8.227976,8.004416333,7.294318,8.350564667,8.02436,8.075993,8.111145
ABCA1,19,6.0430535,6.03029025,5.90495,5.490857,6.0108005,5.997457,6.05903325,6.2422855,6.4270825,6.33348875,6.1418335,6.0592215,6.325733,5.954215,6.4110365,5.861895,6.1796935,6.26371025,6.55849075,5.90706775,6.527749,6.46416275,5.92952325,6.60286925,6.35297175,6.265778,6.121066,6.2437115,6.51215075,6.08896825,6.19622225
ABCA12,26154,3.834133,3.74046,3.81857,3.720324,3.82992,3.870102,3.712052,3.841472,3.796272,3.857672,3.905226,3.714292,3.80276,3.837053,3.685694,3.758882,3.876462,3.718173,3.667188,3.816702,3.715789,3.796685,3.80685,3.768053,4.106208,3.683141,4.042931,3.930738,3.907298,3.816702,3.789406
ABCA2,20,7.44135,7.116621333,6.401978,7.114034,7.241049333,7.529250667,6.999519333,7.404572667,7.451195333,7.217501333,7.124628333,7.251756333,7.236076,8.017809333,7.664884667,7.233269,7.476825333,7.552614333,7.739427333,7.541300333,7.379838333,7.467025333,8.011517667,7.601759,6.527275667,7.196482333,7.614050667,6.66002,7.792794333,7.957916,7.738436333
ABCA3,21,7.532866,7.593345,8.252155,7.786915,7.833782,7.670122,7.748381,7.474131,7.400969,7.608471,7.692743,8.140854,7.263056,7.73048,7.323831,7.399787,8.023939,7.932278,8.018202,7.935844,7.712769,7.583867,7.230428,7.52618,7.369385,7.483829,8.107745,7.384727,7.698742,7.323542,7.94386
ABCA4,24,5.912842,5.887964,5.852625,5.624801,5.747789,5.839578,5.903117,6.120651,5.996831,6.069471,6.375729,5.797288,6.048168,5.757018,5.789659,6.062101,6.030102,5.88755,5.82905,5.91342,5.74727,5.594853,5.464766,5.88755,5.927211,5.660356,6.247591,6.054562,5.914801,6.242463,5.56361
ABCA5,23461,5.583577,5.843511,5.591629,6.606486,5.43273,5.845314,6.000809,5.492921,5.564136,5.503978,5.456343,5.789524,5.878672,5.868645,5.677552,5.727077,5.953009,5.783913,5.714653,6.065136,5.511926,5.988533,6.068453,5.409062,5.385201,5.332438,5.363154,5.43941,5.599356,5.466563,5.917292
ABCA6,23460,4.875076,4.71163,4.628735,4.40275,5.022235,5.474697,4.837987,5.115532,4.978073,5.242426,5.125167,4.544947,4.862975,5.165831,5.247742,4.97024,5.598517,4.71446,5.276534,4.567417,5.000263,4.782394,6.019415,5.481313,5.068066,4.959093,5.251361,4.932171,5.672678,5.432842,4.796247
ABCA7,10347,5.953673,6.161372,6.926689,6.021673,5.987624,5.730929,5.556058,6.058489,5.72562,7.00405,6.170671,5.732591,5.811458,5.867003,5.796568,6.106019,6.134222,6.125717,6.582372,6.12077,5.934409,5.705331,6.028583,6.180546,6.246345,5.710276,5.979041,6.853603,5.798917,6.37846,5.824905
ABCA8,10351,8.51624,8.410527,7.729146,7.769772,7.928297,9.194957,7.510325,8.95632,8.129436,8.541032,6.297179,7.360992,8.413663,9.97145,9.829933,7.55697,7.695035,8.186395,8.825969,7.91289,8.571955,8.670146,9.891555,9.006286,9.314296,8.945088,7.859768,7.263123,8.591113,8.87909,8.631418
ABCB1,5243,5.719195,5.804775,5.156888,5.56294,5.353546,5.69842,5.511059,5.667372,5.318518,5.20224,5.799153,5.471499,5.631017,5.806209,5.75725,5.445252,5.092805,5.381766,5.2112,5.199473,5.204087,5.623134,5.511683,6.338399,5.146931,5.68458,4.81766,5.279624,5.064691,4.946674,5.233776
ABCB11,8647,4.2681745,4.1976565,4.3147275,4.1300385,4.271152,4.3333695,4.067395,4.238942,4.306441,4.3868375,4.6148085,4.196608,4.306878,4.139509,4.213699,4.3680345,4.403594,4.2382585,4.3355085,4.211666,4.2441,4.0387215,4.255494,4.458604,4.61887,4.2133725,4.6835815,4.3930945,4.3248055,4.408403,4.2321
ABCB4,5244,4.859765,4.809409,4.484689,4.8579595,4.604131,4.8066055,4.747235,4.685088,4.778077,4.4781415,4.87334,4.6325265,4.6974045,4.6151475,4.977587,4.838001,4.4155355,4.7148085,4.639481,4.62801,4.683986,4.9037735,4.7840375,5.118141,4.5119775,4.572647,4.415537,4.5411905,4.4331735,4.632407,4.5730055
ABCB6,10058,6.0288305,5.8182615,5.877885,5.9888395,6.0471535,5.847513,5.928574,5.977696,6.224701,5.965452,6.056371,5.82897,5.928328,5.742895,5.9369805,5.869836,6.087738,6.0532105,6.041025,5.9262835,6.042,6.0246545,6.009252,5.999888,6.1437435,6.179112,6.233273,5.947714,5.9789515,5.987741,5.786911
ABCB7,22,6.319025,5.822014,5.87309,6.122458,6.220101,6.292258,6.139935,6.071627,6.18849,5.920533,6.362541,5.962284,6.14023,6.259376,6.157297,6.103308,6.114348,6.105775,6.134303,5.881768,6.145045,6.169688,6.218553,6.066231,5.885532,6.35786,6.156095,6.110029,6.091251,6.013809,5.97481
ABCB8,11194,5.894278,5.496038,5.870807,5.791676,5.77231,5.77231,5.77231,5.72095,5.610994,5.49752,5.929991,5.903848,5.758869,5.96058,5.673794,6.02657,5.764521,5.905352,5.698931,5.928267,5.614223,5.663846,5.676343,5.609463,5.971678,5.600994,5.781086,6.011413,5.798904,5.999565,5.698611
ABCB9,23457,5.966104,6.267436,6.356676,6.198012,6.1827565,5.9047325,6.2434275,5.957344,6.29144,6.195416,6.8422205,6.273974,6.520038,6.1250815,6.412751,6.3823335,6.5279475,6.534,6.428135,6.661355,6.394258,6.436562,6.2213045,6.1996835,5.9897705,5.863102,6.6997995,6.2536445,6.320344,6.6023865,6.384416
ABCC1,4363,5.705306,5.761558,5.8151455,5.835304,5.5686695,5.688675,5.8017575,5.620867,5.7070395,5.8709895,5.829329,5.6311465,5.6693895,5.6553045,5.640648,5.7811625,5.9418945,5.840599,5.7056715,5.721017,5.7363855,5.8987565,5.7425255,5.528684,5.71569,5.805761,5.6092545,5.76018,5.7556725,5.9288515,5.7993005
ABCC10,89845,6.8895655,7.2036515,7.6664505,7.380964,7.6775945,7.0351725,6.852925,7.398506,7.279365,8.065136,7.273475,7.1366275,6.783905,7.2238135,7.0889495,7.311295,7.5063405,7.3145335,7.6231845,7.4300195,7.20383,7.2120785,7.6183715,7.419904,7.859085,7.080907,7.6256415,7.4964185,7.4867365,7.442453,6.8313735
ABCC2,1244,5.805415,5.689032,5.525034,5.539595,5.611877,5.675371,5.765508,5.950488,5.749803,5.71035,6.465179,5.437004,5.56554,5.648993,5.580585,5.921498,6.201348,5.89955,5.839156,5.877353,5.922978,5.728518,5.656993,5.94126,6.107082,5.584403,6.314276,5.805415,6.031353,6.103337,5.853366
ABCC3,8714,5.499504333,5.302208667,5.352131333,5.196929333,5.366593,5.416830333,5.422657,5.586530667,5.585263667,5.564396333,5.943208333,5.360049667,5.426122667,5.299005667,5.487217333,5.426884667,5.727760667,5.442937667,5.504871,5.439956,5.323423,5.362872,5.567354333,5.545770333,5.593785,5.400049667,5.745397333,5.692956667,5.806752,5.828173333,5.294182
ABCC4,10257,5.33464,5.507654,5.545108,5.151924,5.684032,5.487115,5.561827,5.553105,5.479457,5.689057,5.435239,5.52458,5.640192,5.651258,5.663085,5.794123,5.35117,5.295941,5.287093,4.91297,5.584794,5.795103,5.429934,5.621675,5.644989,5.440171,4.865809,5.381684,5.385146,5.505637,5.648919
ABCC5,10057,8.198756,8.69117,9.449981,9.178694,8.534064,8.534436,8.493996,8.534436,8.63586,9.105397,7.903005,8.46379,8.155024,8.461626,8.030408,8.159588,8.622801,8.850782,8.645201,8.961271,8.733682,8.215616,8.51068,8.465423,8.855272,8.622604,8.480119,8.910254,8.365048,8.459893,8.007948
ABCC6,368,5.284299667,5.172830667,5.182233667,5.079913,5.290157333,5.230213667,5.222825667,5.334372333,5.239634333,5.188286333,5.632947,5.143589333,5.178553667,5.160597667,5.262896333,5.163085667,5.305437333,5.286663667,5.234875,5.198809333,5.23055,5.283319,5.186879333,5.296410333,5.300120667,5.098640667,5.45633,5.354122667,5.381709667,5.695389333,5.128158333
ABCC8,6833,6.0111395,5.9516435,6.2175855,6.1954045,5.9351155,6.1179655,6.1753375,6.0970855,6.2289435,6.203008,6.173489,6.166962,6.0787485,5.9798545,6.0992745,6.430992,6.3237315,6.0927795,6.002152,6.2446175,5.957018,5.939629,6.0705835,5.7173305,5.945904,5.992748,6.254419,5.9661945,5.9817455,6.0658105,6.0786355
ABCC9,10060,4.297697,4.084159,4.030120333,4.137313,4.151801333,4.046454333,4.114602333,4.367760667,4.201805,4.219922667,4.223312667,4.075682667,4.174322667,4.117245333,4.098362,4.067874333,4.035562,4.107788667,4.124548667,4.149012,4.143036333,4.086027667,3.933471333,4.142733,4.297764,4.146421333,4.318072333,4.346504,4.150929,4.246013667,4.147299
ABCD1,215,5.5645,5.624699,5.432721,5.2490705,5.540018,5.3938135,5.46568,5.531648,5.80847,5.731098,6.0745525,5.356623,5.4768055,5.2171255,5.538332,5.5578905,5.596607,5.5785775,5.6352085,5.483971,5.4732965,5.4785775,5.6312635,5.8026625,5.5200555,5.27659,6.1085205,5.628287,5.8554705,5.999586,5.317184
ABCD2,225,3.69457,3.893585,3.739918,3.733493,3.66954,3.831616,3.863653,3.921022,3.945521,3.743629,4.303304,3.668931,3.806857,3.667773,3.889993,3.89124,3.845064,3.88657,3.92927,3.755037,3.864103,3.790383,3.722502,3.805568,3.834676,3.682938,3.968655,3.729586,3.895609,4.094423,3.703529
ABCD3,5825,8.228732,8.469424,8.52791,8.373022,8.14495,8.360933,8.283135,7.907939,8.170064,8.240355,8.087855,8.43245,8.302656,8.396287,8.906008,8.140099,8.352021,8.416507,8.791529,8.465009,8.86475,9.085701,8.733369,8.491221,8.243476,8.54088,8.036225,7.783301,8.470661,8.361473,8.543989
ABCD4,5826,6.4917755,6.228899,6.430873,6.358811,6.462235,6.538462,6.1937785,6.5680335,6.644998,6.6874725,6.366235,6.2937815,6.3998395,6.6255095,6.5168645,6.446907,6.7882735,6.4255685,6.776652,6.401291,6.3868975,6.463976,6.3823145,6.538907,6.5698775,6.6546205,6.764239,6.528755,6.952779,6.761175,6.2357965
ABCE1,6059,6.7773375,6.909349,6.6787885,6.8757715,6.6431565,6.9253355,7.0642055,6.441455,6.48038,6.6154955,5.7176555,6.944693,6.998987,7.157586,6.815758,6.643017,6.3564275,6.564428,6.4367755,6.606298,6.520853,6.938405,6.7163565,6.6099455,6.0626325,6.5715345,5.745204,6.208023,6.1109405,6.027262,7.303421
ABCF1,23,8.132280601,7.941376482,7.969399539,8.136309656,8.182782282,7.908074167,8.114902316,7.992620414,7.832942686,7.919965401,7.451067977,8.201160497,7.959905511,7.995808933,8.0735125,7.933208377,7.837059084,8.023175658,7.862314054,7.989603166,8.060930022,8.055090935,7.770917485,8.106131779,7.940812271,8.302717223,7.616447206,7.721050124,7.917943932,7.622481604,8.404436955
ABCF2,10061,5.9801526,5.7918624,5.9660878,6.1111944,6.0174526,5.896577,5.8848858,6.007154,5.9486692,5.9093046,6.0656786,5.9887556,5.75054,6.0215662,5.952088,5.981825,5.8677194,5.9434526,6.1276028,6.0724264,5.9283936,5.9428506,5.9583312,5.9610578,6.1048408,6.0872198,6.2311754,5.861697,5.8141498,5.8802394,5.9165886
ABCF3,55324,7.169702,6.756637,7.029915,7.379651,7.081976,7.184747,7.187601,7.223933,6.938854,6.90574,7.083169,7.423992,7.230984,7.141027,6.998537,7.002031,7.100807,7.345416,7.034623,7.331376,7.218839,7.030571,6.989295,7.160709,6.963775,7.193717,7.256643,6.940118,6.995005,6.579333,7.071342
ABCG1,9619,6.218938,6.0647525,6.1168395,6.1198155,6.266112,6.152741,6.1925635,6.3729695,6.236904,6.2258845,6.306853,6.292013,6.220634,6.733935,6.3724915,6.2124245,6.2136395,6.2024245,6.2999615,6.092535,6.2087635,6.1890155,6.830952,6.201818,6.1332215,6.143973,6.1190505,6.0600585,6.4468395,6.086198,6.7025595
ABCG2,9429,6.435795,7.63921,6.825975,6.835934,7.119569,7.763052,7.529416,7.032539,6.385707,7.019737,7.104507,6.345847,7.370172,7.576007,7.648884,7.370401,6.050194,7.186413,7.05456,6.232402,6.730007,8.118648,7.670988,7.43241,6.855626,7.468097,5.885533,6.936748,6.636685,6.6592,5.83712
ABCG4,64137,5.917078,6.465105,6.656433,6.176369,5.795612,6.044775,6.193267,5.775388,5.834982,6.131079,6.433296,6.304497,6.131645,6.008255,5.776698,6.52602,6.484936,6.283013,6.248974,6.42584,6.011874,5.689672,5.936925,5.931147,5.910071,5.774644,6.128865,6.284756,5.914531,5.999238,5.412088
ABCG5,64240,4.570663,4.331905,4.28804,4.51142,4.358826,4.413847,4.465721,4.442633,4.805735,4.409428,4.841925,4.254838,4.421414,4.379639,4.610824,4.557247,4.674099,4.334126,4.591187,4.563114,4.525157,4.323927,4.489298,4.577187,4.668212,4.400931,5.102169,4.652103,4.586509,5.039295,4.431296
ABHD10,55347,8.325202,8.742637,9.088555,8.65755,8.556191,8.646071,8.615082,8.468379,8.569746,8.616438,8.512624,8.888855,8.489009,8.622943,8.64316,8.685949,8.514122,8.773728,8.907937,8.818849,8.799687,8.648026,8.669701,8.248306,8.648026,8.632159,8.285139,8.618792,8.723863,8.60483,8.471362
ABHD11,83451,7.12003,7.362313,7.43257,7.011194,7.165162,6.920678,7.152705,7.172253,6.987464,7.17022,7.478286,6.937784,6.716616,7.215359,7.343665,7.180143,7.556228,7.341685,7.16864,7.147998,6.866017,7.30028,7.265537,7.188773,7.306649,6.790273,7.64931,6.966971,7.318461,7.175005,7.272282
ABHD14A,25864,7.477596,8.345172,8.712854,8.333504,7.666191,7.81635,8.050987,7.496636,7.454054,7.868979,7.486968,8.270441,7.820584,7.611828,7.297013,7.784368,7.802518,7.809335,7.750994,8.222084,7.393863,7.653575,7.176972,7.378314,7.392195,7.472514,7.350557,7.987034,7.439122,7.310522,8.040472
ABHD14A-ACY1,100526760,6.642811,6.265792,6.341341,6.101632,6.399208,6.291866,6.580777,6.563336,6.679969,6.463937,6.929488,6.374366,6.609318,6.596061,6.646453,6.414581,6.705675,6.687515,6.513598,6.42299,6.504711,6.575202,6.643984,6.690368,6.402821,6.311511,7.003152,6.511008,6.685808,6.553769,6.491088
ABHD17A,81926,10.3116,11.30214,11.53444,9.730915,10.31107,10.01043,10.21577,9.917464,10.10851,10.93752,10.1924,10.06906,9.978795,9.975729,9.910439,9.815869,10.05598,10.46111,10.27983,9.937465,10.01375,9.736773,10.41092,10.10355,10.75038,9.413243,10.0613,11.73556,10.04126,11.07214,9.713604
ABHD17B,51104,6.314095,6.382871,5.795014,6.295118,5.937625,5.957521,5.853135,6.377514,6.017689,6.201052,6.281796,6.277893,6.425856,6.679786,6.174755,5.950637,6.174755,5.830521,5.651456,6.12917,6.038415,6.174755,6.309139,6.320733,6.174755,6.052653,6.660763,6.134912,6.098404,6.5448,6.195912
ABHD18,80167,5.273791,5.457334,5.321627,5.691158,5.681222,5.148266,5.215814,5.504517,5.279598,5.627414,5.801698,5.53608,5.561669,5.598911,5.593035,5.661094,5.889069,5.340239,6.099158,5.663576,5.457001,5.533322,5.361819,5.122215,5.966121,5.233987,5.59044,5.522685,5.677839,5.410686,5.456372
ABHD2,11057,5.3646735,5.154844,5.33369275,5.3587575,5.3483025,5.289881,5.52010275,5.3644625,5.1903555,5.22746975,5.4009425,5.46641225,5.3820245,5.23408675,5.52458475,5.42006225,5.351842,5.34982125,5.29410625,5.40121175,5.29759975,5.341801,5.126583,5.2915105,5.268241,5.1096835,5.32645,5.41182575,5.27777275,5.347712,5.33524025
ABHD3,171586,6.294813,6.279809,6.238609,6.257549,6.224625,6.968726,6.107038,6.379203,6.282427,6.463766,5.355885,6.039626,6.154466,6.256079,6.304719,6.200476,6.1376,6.128322,6.224341,6.165451,6.224625,6.657988,6.586185,6.220617,6.323286,7.531358,5.023058,6.15954,5.852292,6.227339,6.198746
ABHD4,63874,8.0911,7.822645,7.872142,7.808254,8.104366,8.30802,7.911663,8.424215,8.116598,8.150012,8.168655,7.976761,7.908159,7.943166,8.116598,8.167935,8.397617,8.059931,8.192615,8.048263,8.16262,8.107467,7.943239,8.037067,8.058328,9.033475,8.263207,8.227597,8.304857,8.397059,7.804102
ABHD5,51099,5.141847,5.14923,5.229483,5.107128,5.322059,5.392195333,5.072934,5.499804333,5.153731,5.298153333,5.156697667,5.158200667,5.242250667,5.227074,5.287391,5.282076333,5.487625,5.345310333,5.393363333,5.176915,5.362945,5.392252667,5.217140667,5.405231,5.263322667,5.320423667,5.734683667,5.163125333,5.217366333,5.284481667,5.257736
ABHD6,57406,6.40717275,6.39666975,6.0743935,6.25621025,6.28468975,6.48463925,6.29418175,6.32709375,6.25895625,6.20773125,6.05668575,6.189651,6.31951125,6.66713975,6.15399,6.3421275,6.2175595,6.18344425,6.3642385,6.27982325,6.1862455,6.15654425,6.39699725,6.22136625,6.242062,6.34485575,6.03873875,6.12745225,5.94512775,6.1253915,6.12345875
ABHD8,79575,6.511507,7.505908,7.98222,6.853639,6.655215,6.694523,6.770946,6.36074,6.715741,7.454589,6.658817,6.881464,6.420348,6.152416,6.36759,6.618406,6.387281,6.790332,6.947165,6.867123,6.541759,6.375096,6.746116,6.628514,6.310655,6.813666,6.433444,7.619201,6.294254,6.970721,5.995785
ABI1,10006,7.2332555,7.771044,7.382503,7.420236,6.6991935,7.2900155,7.702529,6.4039465,6.733348,6.647903,5.7443,7.800017,7.683665,6.937086,7.388458,6.5622795,6.0868375,7.039853,6.4955575,6.7344655,7.5081975,7.4867965,6.2981105,6.3374805,6.045904,7.544538,4.483962,6.928785,5.979304,6.13311,7.8302155
ABI2,10152,6.70454375,6.53277025,6.4906665,6.54619425,6.7289705,6.60295525,6.76056575,6.76820425,6.59832075,6.71464425,6.9701865,6.6723535,6.7965665,6.56291275,6.4578495,6.8587295,6.59931725,6.6421395,6.57109,6.589437,6.5635615,6.41632825,6.28451825,6.49077175,6.682741,6.53383525,6.885936,6.6956075,6.62246625,6.8444905,6.5121555
ABI3BP,25890,4.633391,4.437366,4.65084,4.176694,4.743347,4.428551,4.436252,4.803946,4.75245,4.743826,4.714989,4.57024,4.602434,4.406349,4.857479,4.65084,4.864709,4.639542,4.816474,4.477886,4.648099,4.67219,4.813397,4.580824,4.824378,4.504609,5.082033,4.561912,5.049928,5.07603,4.603409
ABITRAM,54942,7.676234,7.690386,7.886875,7.822045,7.930048,7.843227,7.9279,7.686631,8.086557,7.691916,8.077544,7.982419,8.088867,7.728242,7.705932,7.986964,7.842901,7.80388,7.585313,7.948106,7.723739,7.95013,7.880163,7.58936,7.669439,7.657383,8.102833,7.710086,7.706167,7.899788,7.720259
ABL1,25,8.398548,7.802657,7.917052,8.222609,8.816674,8.219288,7.657018,8.275376,8.670582,8.134532,8.362521,8.042074,8.292094,8.835248,8.32451,8.057906,8.630509,8.475344,8.922441,8.407037,8.309393,8.296578,8.842867,8.681227,8.642935,8.406822,9.240104,8.008583,9.020531,8.555326,8.259278
ABL2,27,6.466582,6.338796,6.457736,6.266126,6.348694,6.354139,6.335159,6.654473,6.499537,6.623463,6.773406,6.345389,6.328378,6.232493,6.255952,6.551387,6.410157,6.263141,6.167125,6.333241,6.255874,5.993478,6.029582,6.563358,6.503496,6.442962,6.776528,6.529007,6.570525,6.707841,6.361002
ABLIM1,3983,7.691692878,7.171947227,7.237465649,7.781350507,7.559518061,7.436768835,7.660568187,7.687857957,7.683316507,7.512612293,7.26290366,7.492122135,7.70630219,7.54698393,7.803957205,7.51721528,7.676628187,7.935012014,7.947216191,7.680099305,7.941456054,7.995802893,7.478630486,7.41660831,7.654678779,8.165590425,7.427908506,7.710069014,7.747159575,7.672925342,7.694885011
ABLIM2,84448,4.267683,4.252287,4.559326,4.548017,4.383696,4.206369,4.0876,4.650041,4.699793,4.496475,5.006616,4.181965,4.146652,4.308174,4.431281,4.571339,4.914137,4.550856,4.675518,4.460993,4.276743,4.317272,4.270239,4.546821,4.380431,4.070241,5.13059,4.338988,4.488028,4.355674,4.262397
ABLIM3,22885,7.018624,6.688279,6.663422,6.977349,7.050235,6.877039,7.018624,6.765408,6.933075,6.752214,7.254419,6.802512,7.06654,6.62082,7.705994,6.815747,7.122167,7.492567,7.539847,6.797299,7.683563,7.86904,7.57346,6.834495,6.768547,7.373538,7.023186,7.038813,7.413133,6.8392,6.739665
ABO,28,4.802757333,4.656485333,4.505967,4.568033667,4.788656667,4.761959,4.583861333,4.912960333,4.853139667,4.785808,5.239479667,4.712818333,5.125806333,4.491204667,4.691955333,4.901983333,4.920729667,4.782241667,4.783630667,4.825421333,4.959559667,4.770727667,4.786886,4.728177333,4.857798,4.587198,5.224649,5.023677667,4.880792667,4.856229,4.678714333
ABR,29,8.502752,8.0537175,8.510275,9.0060545,8.513395,8.409621,9.0566565,8.284883,8.746899,8.037186,8.560255,9.265308,8.712024,8.482998,8.9139185,8.3060395,8.5057275,9.0305695,8.9308925,8.903647,9.1042485,8.9571835,8.2600455,8.421193,8.224884,8.7276315,8.267663,8.390612,8.7140075,8.0421435,8.5812195
