Gene,EntrezID,7_C,8_C,9_C,10_C,11_C,12_C,13_C,14_C,15_C,16_I,17_I,18_I,19_I,20_I,21_I,22_I,23_M,24_M,25_M,26_M,27_M,28_M,29_M,30_M,31_S,32_S,33_S,34_S,35_S,36_S,37_S
CEP170,9859,8.2207665,8.357003,8.30999,8.522737,8.212429,8.4122425,8.4560245,8.4316075,8.088369,8.169271,7.756958,8.3143155,8.4499745,8.556075,8.2842425,8.4403245,8.056242,8.2826295,8.239982,8.160407,8.0616395,8.610524,8.3923205,8.3894735,8.084645,8.3787925,7.465392,8.0850165,7.956992,7.6998135,8.703005
CEP170B,283638,9.380432,9.616184,10.21854,9.789284,9.536516,9.257435,9.74439,9.067916,9.276127,9.516267,9.009089,9.783383,9.495841,8.965542,9.333522,9.277893,9.132453,9.653548,9.475052,9.625411,9.365398,9.008853,9.101944,8.935801,9.615167,9.395483,9.110539,9.594787,9.15507,9.100686,9.509322
CEP192,55125,5.80515,6.778548,6.307644,5.916026,5.851128,6.172574,6.338763,6.021845,5.881004,5.983737,5.358279,5.923541,5.831721,6.366035,6.259052,5.566575,5.159328,5.917357,5.266119,5.230145,5.63917,6.154902,6.147796,5.291399,5.731342,5.766076,5.17584,5.910873,5.228602,5.41195,6.088899
CEP250,11190,6.471252,6.309655,6.630272,6.308833,6.472119,6.2844955,6.3674325,6.40799,6.536842,6.5067885,6.4126345,6.2699755,6.2411935,6.3888655,6.3282465,6.5870905,6.5412205,6.3683525,6.405253,6.56949,6.3434125,6.267555,6.4033445,6.4749375,6.560906,6.334485,6.7182575,6.491307,6.5602035,6.437241,6.335907
CEP290,80184,5.138484,5.0059995,5.206574,4.966358,5.0054045,5.1101425,4.8884,5.034563,4.9681485,5.180139,4.9972015,5.0033305,4.976168,5.058191,4.9757185,5.046641,5.1020675,5.02506,4.952392,5.043105,4.988675,5.113716,4.9671345,4.9517965,4.821312,5.00377,5.071221,5.030884,5.033239,5.007209,4.863161
CEP295,85459,3.913626,3.891443,4.220047,4.127007,4.205144,3.990565,4.099637,4.132047,4.105127,4.193681,4.310625,4.079718,4.066062,4.021483,4.109,4.105019,4.265194,4.049503,4.329795,4.081907,4.15752,3.960283,4.050278,4.233901,4.123912,3.917178,4.594548,4.059485,4.250567,4.102294,3.939255
CEP350,9857,6.61262975,6.372988,7.214509,6.7690925,7.05880875,6.93105575,6.6197195,7.1200845,6.96041775,7.31236675,6.9147465,6.626751,6.757346,6.98823875,7.1193205,6.76313975,7.131957,6.77967475,7.684267,7.174056,7.12777725,6.9182255,7.42714575,7.3376745,7.3467145,6.89716625,7.55608025,7.00513225,7.470323,7.11961,6.8662465
CEP41,95681,5.058213,4.971067,5.013929,4.89068,5.176312,5.102512,5.028313,5.188743,5.375537,5.298184,5.382419,4.887734,5.120952,4.951421,4.913743,5.193684,5.266039,5.029822,5.062491,5.10562,5.046015,5.117003,4.940285,5.205371,5.259097,4.820175,5.34897,5.244367,5.44768,5.500424,4.985824
CEP43,11116,5.705577333,5.803525,5.702965667,5.79371,5.707001667,5.666952333,5.644044333,5.618960667,5.8109,5.971985333,5.417573333,5.656437667,5.599014,5.368328,5.633982333,5.859798333,5.696194667,5.675083667,5.743207333,5.804125333,5.664841333,5.590567667,5.840541667,5.641398667,5.830379,5.944967,5.872485333,5.961944333,5.601294,5.772795333,5.483132667
CEP55,55165,3.927214,3.733641,3.784935,3.689873,3.939244,3.745926,3.697274,4.101603,3.800887,3.810454,4.133144,3.666756,3.863778,3.815132,3.794512,3.877716,3.878826,3.931206,3.908601,3.766463,3.66855,3.753433,3.906694,3.791188,3.795429,3.688071,4.069744,3.699066,3.951491,4.153771,3.705085
