"","EntrezID","X21.1A.AD","X20.1T.AD","X23.2A.AD","X22.2T.AD","X26.3A.AD","X24.3T.AD","X27.5A.AD","X25.5T.AD","X29.6T.AD","X31.7T.AD","X28.8T.AD","X30.9T.AD","X18.10A.Old","X11.10T.Old","X19.11A.Old","X13.11T.Old","X15.13T.Old","X16.14T.Old","X12.6A.Old","X14.7A.Old","X10.8A.Old","X17.9A.Old","X2.12A.Young","X4.13A.Young","X6.14A.Young","X8.15A.Young","X9.16A.Young","X3.17T.Young","X5.18T.Young","X7.19T.Young"
"ZNF292",23036,1606.892956,1597.203595,1872.633512,1893.800875,1967.694782,2077.156028,1492.992256,1429.387004,1364.723063,1486.093802,1920.204877,1657.861025,1674.6027,797.6458848,1629.538691,1619.268614,1389.260954,1157.695565,1764.395774,1673.598259,1874.328938,1902.094035,1527.682704,1648.083095,1834.275649,2683.286328,1194.356896,1548.611608,1893.269687,1095.51545
"PASD1",139135,0,0,0,0,0.993283585,0,0,0,0,0,0,0,0,0.939512232,0,0,0.962758804,0,0,0,0,0,0,0,0.962369176,0,0,0,0,0
"OTX2",5015,0,0,4.01852685,0,0,21.13870624,0,0,0,0,4.476002043,0,0,0,0,0,0,0,0,0,0.905910555,0,0,0,0,0,1.063541314,0,0,0
"ZNRF2",223082,354.1177823,315.4225968,313.4450943,338.0805626,355.5955234,437.23745,340.8778779,379.6641177,341.450901,389.5890729,387.1741767,257.1628775,286.0463887,326.9502567,282.14235,324.6593291,312.8966112,318.4108757,282.3403521,283.6979965,299.8563936,359.4642555,282.3276513,309.4102362,286.7860144,452.6025132,295.6644853,398.2144136,320.1472442,354.4314691
"MAP1LC3C",440738,5.567889659,2.009061126,4.01852685,4.581037433,4.966417924,3.337690458,6.606160424,4.302142977,2.161081652,0,3.357001532,4.418606143,2.841520418,12.21365901,3.332389961,6.444850205,3.851035215,1.78381443,1.851412145,2.199209275,2.717731664,5.110866193,2.122764295,1.804141319,2.887107527,0,4.254165256,1.340789271,2.588791732,3.790710899
"SP140L",93349,34.52091589,43.19481422,48.2223222,46.72658182,22.84552245,42.27741247,52.84928339,63.45660891,41.06055139,30.37119117,71.61603269,45.95350389,46.41150016,26.30634249,58.87222265,91.83911543,48.13794019,49.05489682,31.47400647,52.78102261,32.61277997,40.03511851,33.96422872,19.84555451,17.32264516,58.1917517,29.77915679,60.33551721,44.00945944,49.27924169
"LOC100126447",100126447,1.113577932,0,0,1.832414973,0,1.112563486,0,1.075535744,2.161081652,1.047282454,1.119000511,0,0.947173473,1.879024464,0,0.805606276,0.962758804,3.56762886,3.70282429,0,0,0,1.415176197,0,1.924738351,0,0,0,0.862930577,0.947677725
"RNF208",727800,564.5840115,657.9675189,647.9874545,317.9239979,608.8828375,440.5751405,634.1914007,231.240185,625.6331383,790.6982528,449.8382053,615.9536964,476.4282567,1165.93468,778.6684542,652.5410833,850.1160238,772.3916481,570.2349407,577.2924348,888.6982542,566.4543363,767.0254987,751.4248594,838.2235521,84.05475245,762.5591222,150.1683984,182.0783518,565.7636017
"EIF4G3",8672,2974.366656,3342.073184,2667.297197,2916.28843,3379.150756,2526.631677,2571.117637,2939.439189,3317.260336,2754.352854,2688.958227,2910.094006,3390.881032,2507.558147,2919.173606,2694.752992,2719.793621,3260.812778,3577.853971,2871.067709,3773.11746,3195.994992,3462.936154,3983.544033,3990.944972,2517.332073,2756.699086,2220.347033,2757.063194,2962.440568
"STPG2-AS1",101410545,3.340733796,2.009061126,3.013895137,2.74862246,9.932835848,4.450253944,3.963696255,2.151071489,12.96648991,4.189129816,2.238001022,0.883721229,3.78869389,1.879024464,3.332389961,2.416818827,2.888276412,0.891907215,8.331354653,3.298813913,1.811821109,1.703622064,2.122764295,5.412423957,6.73658423,2.155250063,1.063541314,1.340789271,6.903444618,6.633744074
"MYLK3",91807,34.52091589,19.0860807,16.0741074,18.32414973,17.87910453,5.56281743,15.85478502,11.83089319,11.88594909,17.80380172,4.476002043,22.97675194,16.10194903,89.25366202,24.43752638,20.14015689,23.10621129,16.94623708,20.3655336,16.49406957,35.33051163,18.73984271,27.59593584,14.43313055,26.94633692,10.77625031,32.96978073,9.3855249,10.35516693,11.3721327
"MIA3",375056,1641.413872,1598.208126,1367.303761,1201.148015,1358.811944,1243.845977,1489.02856,1086.291102,1252.346817,1504.944887,1305.873596,1420.140014,1171.653586,1848.02056,1317.404831,1349.390512,1395.037507,1681.2451,1445.027179,1222.760357,1879.764401,1488.965684,1612.593276,1873.60076,2032.523699,1501.131669,1367.71413,968.0498539,1064.856332,1136.265592
"OS9",10956,1486.626539,1592.180943,1368.308392,1604.279309,1402.516422,1366.227961,1639.649017,1813.353265,1714.818291,1405.453053,1336.08661,1749.768033,1774.055914,1839.56495,1689.52171,1658.743322,1743.556194,2232.443759,1463.541301,1561.438586,1656.004494,1833.097341,1885.014694,1775.275058,1622.55443,1414.921666,2444.01794,1856.993141,1395.358743,1940.84398
"OTX1",5013,79.06403316,45.20387534,72.3334833,33.89967701,38.73805981,27.81408715,95.12871011,35.49267956,63.75190874,81.68803142,45.87902094,58.32560109,51.14736752,54.49170944,108.8580721,78.94941502,92.42484517,53.51443289,29.62259432,71.47430145,36.23642219,25.55433096,36.08699302,57.73252221,30.79581362,16.16437547,70.19372673,38.88288887,34.51722309,28.43033174
"AMT",275,203.7847615,139.6297483,210.9726596,181.4090824,166.8716423,183.5729752,199.5060448,167.7835761,193.4168079,210.5037733,170.0880776,226.2326345,160.0723169,178.507324,281.0315534,215.9024819,259.944877,118.6236596,112.0104348,260.6062991,153.0988838,118.4017335,99.76992187,81.18635936,124.1456237,125.0045036,201.0093084,214.5262834,186.3930047,159.2098578
"CCDC28A",25901,218.2612746,213.96501,154.7132837,169.498385,174.8179109,109.0312216,146.6567614,109.7046459,149.114634,161.2814979,168.9690771,182.9302943,164.8081842,130.5922002,177.7274646,169.9829242,117.4565741,247.0582985,219.3923392,112.159673,298.0445725,201.8792146,223.5978391,294.075035,267.5386309,81.89950239,215.8988867,124.6934022,138.9318229,160.1575355
"SLC5A1",6523,2.227155864,1.004530563,1.004631712,2.74862246,2.979850755,0,5.284928339,0,2.161081652,3.141847362,1.119000511,2.651163686,1.894346945,12.21365901,2.221593307,0,6.739311627,6.243350504,8.331354653,4.398418551,0.905910555,3.407244128,2.830352394,7.216565276,5.774215054,0,3.190623942,0,0.862930577,0
"CDH12",1010,312.9153989,266.2005992,197.9124474,117.2745583,250.3074634,96.79302329,144.0142972,17.20857191,249.6049308,234.5912697,176.8020807,288.9768418,206.483817,260.2448882,288.80713,223.1529384,315.7848877,245.2744841,315.6657707,166.0403003,488.285789,260.6541758,290.8187084,342.7868506,562.9859678,18.31962553,312.6811463,28.1565747,117.3585585,217.9658767
"DDB1",1642,2125.820272,2469.136124,1954.008681,2683.571728,2040.204483,1802.352847,1885.398185,1805.824515,2115.698937,1799.231256,1960.488895,2365.721729,2949.498194,2267.982527,2324.897396,2710.059511,2245.153531,4105.44891,2576.24,2666.541246,3584.688065,3066.519716,4146.466257,3504.544512,3749.390309,3119.724466,3422.475949,3031.524543,3553.548117,2175.868056
"CSTF3-AS1",338739,3.340733796,1.004530563,0,3.664829947,1.98656717,2.225126972,0,5.377678721,2.161081652,2.094564908,5.595002554,0,5.683040836,2.818536695,1.110796654,2.416818827,0,0.891907215,4.628530363,3.298813913,0,4.25905516,2.122764295,3.608282638,0,7.54337522,1.063541314,10.72631417,4.314652886,6.633744074
"XLOC_009911",105500240,0,0,0,0,0,0,0,0,0,0,0,0,0,0.939512232,0,1.611212551,0,0,0.925706073,1.099604638,0,0,0,0,0,0,0,0,0,0
"NXPH4",11247,16.70366898,49.2219976,11.05094884,135.598708,74.49626886,89.00507889,30.38833795,172.0857191,123.1816542,52.36412271,117.4950536,30.04652177,66.30214308,62.0078073,35.54549292,51.55880164,27.92000531,82.94737098,66.65083723,25.29090667,34.42460108,51.10866193,48.11599069,59.53666353,34.64529033,23.70775069,23.39790891,85.81051337,113.0439056,124.1457819
"MIR487A",619555,0,2.009061126,0,0,0,1.112563486,2.64246417,2.151071489,2.161081652,5.236412271,1.119000511,2.651163686,1.894346945,4.697561159,2.221593307,0,0.962758804,2.675721645,1.851412145,1.099604638,3.623642219,0.851811032,0,0,0.962369176,0,2.127082628,0,0,1.89535545
"ZNF440",126070,123.6071504,155.7022373,169.7827594,126.4366332,171.8380602,180.2352847,117.5896556,114.0067889,132.9065216,142.4304138,182.3970833,129.0232994,144.9175413,105.22537,156.6223282,175.6221681,114.5682977,153.408041,137.9302048,144.0482075,153.0988838,133.734332,147.1783245,172.295496,154.9414373,206.904006,140.3874535,103.2407739,125.9878643,142.1516587
"PRLHR",2834,17.81724691,22.09967239,10.04631712,2.74862246,9.932835848,11.12563486,15.85478502,5.377678721,6.483244957,5.236412271,6.714003065,16.79070334,8.524561254,30.06439142,13.32955984,8.056062757,25.9944877,21.40577316,12.95988502,20.89248812,34.42460108,7.666299289,18.39729056,18.04141319,28.87107527,1.077625031,23.39790891,17.43026053,8.629305773,15.1628436
"APOE",348,5680.361031,6828.798768,5953.447528,9742.034205,6282.518674,8986.175277,10756.1504,8792.50471,6959.763461,6373.761016,8713.656978,6490.048703,11143.49591,8487.553502,9775.010553,15006.8337,14502.99862,8457.064211,8760.882271,11123.60052,5798.733461,8173.126853,9611.169141,6267.586942,6270.797549,7472.251968,12128.62515,10361.61949,7033.747135,8173.720376
"AUTS2",26053,1541.191858,1388.261238,1448.678929,1534.64754,1463.10672,1515.311468,2133.789817,1347.646288,1657.549627,1688.219316,1433.439654,1373.302789,1351.616545,1541.739572,2131.618778,1403.366132,1990.985206,1593.838193,1065.48769,1979.288348,1309.946662,901.216072,1094.638788,1062.639237,1451.252717,827.6160241,2131.336793,1127.603777,921.6098565,1202.603033
"BCAM",4059,584.6284142,316.4271274,898.1407509,265.7001711,443.9977624,508.4415131,791.4180188,426.9876905,416.008218,820.0221616,408.4351864,390.6047831,261.4198784,543.9775822,716.4638416,585.6757624,671.0428863,410.2773188,345.2883651,374.9651815,306.1977675,267.4686641,295.064237,247.1673607,307.9581362,119.6163785,591.3289706,328.4933715,266.6455484,389.4955449
"BCKDK",10295,486.6335562,479.1610786,466.1491146,437.9471786,431.0850758,475.0646086,531.1352981,407.6280471,487.3239126,560.2961129,386.0551762,481.6280696,424.3337157,513.9131908,525.4068172,509.1431662,538.1821713,605.6049989,355.4711319,484.9256452,504.592179,462.5333904,525.7379571,474.4891669,614.9539033,394.4107615,628.5529166,375.420996,396.9480655,531.6472036
"BCL6B",255877,64.58752005,37.16763084,79.36590528,36.64829947,57.61044792,114.5940391,132.1232085,93.57160975,44.30217387,99.49183314,40.28401839,72.46514075,47.35867363,64.82634399,83.30974903,78.94941502,138.6372678,66.0011339,66.65083723,35.18734841,32.61277997,22.99889787,84.91057181,28.86626111,37.53239785,29.09587585,86.14684644,24.13420688,50.04997348,38.85478672
"BIN1",274,2884.166844,4599.745449,2724.561204,9426.85883,4401.239564,3532.389068,2962.202334,11817.98676,6455.150895,3860.283126,5429.390478,4276.327025,5980.453306,4193.04309,2971.381049,4076.367755,4117.719404,5520.90566,3610.253683,4665.622478,3053.82448,5675.616907,5417.294481,3138.303825,2684.047631,15127.70019,3926.594531,14984.6609,12929.28884,8300.709192
"BLOC1S3",388552,142.5379753,150.6795845,167.773496,183.2414973,180.7776124,179.1227213,212.7183657,191.4453625,192.336267,233.5439873,174.5640797,195.3023915,130.7099392,248.9707414,171.0626847,175.6221681,226.2483189,237.2473192,187.9183327,223.2197415,190.2412165,182.2875609,194.5867271,217.3990289,180.925405,241.388007,165.912445,160.8947126,221.7731584,229.3380094
"CASS4",57091,71.26898764,29.13138633,57.26400761,21.98897968,48.67089566,60.07842825,58.13421173,31.19053658,23.77189817,46.08042798,42.52201941,30.04652177,22.73216334,58.24975837,76.64496911,32.22425103,43.32414617,25.86530923,28.69688825,19.79288348,19.02412165,29.81338612,16.27452626,11.72691857,4.811845879,20.4748756,27.65207416,60.33551721,25.02498674,15.1628436
"CBLC",23624,2.227155864,7.031713942,2.009263425,2.74862246,1.98656717,1.112563486,2.64246417,2.151071489,4.322163304,0,1.119000511,7.953491058,0,11.27414678,2.221593307,0,3.851035215,0.891907215,0.925706073,2.199209275,3.623642219,1.703622064,0.707588098,0.90207066,2.887107527,0,11.69895445,1.340789271,0.862930577,1.89535545
"CCDC83",220047,2.227155864,2.009061126,3.013895137,0.916207487,0.993283585,4.450253944,6.606160424,2.151071489,5.40270413,4.189129816,3.357001532,2.651163686,3.78869389,1.879024464,2.221593307,0,0,6.243350504,1.851412145,5.498023189,1.811821109,0.851811032,2.830352394,0,1.924738351,2.155250063,2.127082628,1.340789271,0.862930577,3.790710899
"CEACAM16",388551,2.227155864,1.004530563,5.023158562,0,11.91940302,7.787944402,14.53355293,4.302142977,0,8.378259633,1.119000511,2.651163686,0,1.879024464,3.332389961,0,1.925517608,0.891907215,0,2.199209275,0.905910555,0,0.707588098,0,0,0,0,0,0,0.947677725
"CEBPB",1051,299.5524637,231.0420295,255.176455,214.3925519,160.9119407,176.8975943,413.5456426,207.5783986,221.5108693,352.934187,248.4181134,217.3954222,181.8573067,298.7648897,146.6251583,393.9414688,186.7752079,279.1669583,205.5067481,205.6260673,144.0397782,260.6541758,179.727377,297.6833176,197.285681,244.6208821,254.1863741,156.8723448,216.5955749,191.4309004
"CHRNA2",1135,102.4491697,104.4711786,95.44001268,10.99448984,49.66417924,43.38997596,101.7348705,9.679821699,42.14109222,102.6336805,61.54502809,150.2326089,21.78498987,232.9990335,108.8580721,49.94758909,131.8979561,39.24391745,43.50818541,160.5422771,124.109746,37.47968541,59.43740027,89.30499529,100.0863943,4.310500126,110.6082967,5.363157085,2.588791732,39.80246444
"CLPTM1",1209,1968.805784,1921.666967,1658.646957,1893.800875,1660.770154,1475.259183,2133.789817,1367.005931,1791.53669,1998.214922,1341.681612,2096.186754,1755.112445,2085.717155,2100.516472,1947.955975,2185.462485,2756.885201,2234.654459,2025.471743,2687.836616,2054.568209,2969.747249,2794.614903,2863.048298,1657.387298,2724.792847,1401.124789,2084.840275,1717.192037
"CNN2",1265,47.88385107,43.19481422,108.5002249,93.45316364,76.48283603,103.4684042,170.4389389,196.8230412,47.54379635,54.45868761,78.33003576,45.95350389,41.6756328,103.3463455,73.31257914,82.97744639,45.24966378,47.27108239,72.20507366,64.87667363,29.89504831,57.92315018,63.68292886,43.29939166,38.49476703,269.4062579,77.63851592,253.4091723,185.5300741,62.54672984
"CR1L",1379,0,1.004530563,0,3.664829947,0,0,0,1.075535744,1.080540826,1.047282454,2.238001022,1.767442457,0,0.939512232,0,1.611212551,0,1.78381443,0,2.199209275,0.905910555,0,1.415176197,1.804141319,0,0,3.190623942,2.681578543,1.725861155,2.843033174
"CTCF",10664,547.8803425,820.7014701,646.9828228,768.6980813,787.6738828,795.4828925,741.2111996,903.4500252,740.1704659,747.7596722,812.3943708,592.0932232,637.4477471,574.0419736,598.7193963,588.8981875,620.0166697,670.7142256,765.558922,619.077411,634.1373883,666.9680381,800.2821393,863.2816212,705.4166058,1032.36478,544.5331528,811.1775092,979.4262052,696.5431277
"ECHDC3",79746,36.74807175,23.10420295,34.15747822,61.3859016,24.83208962,45.61510293,60.7766759,17.20857191,25.93297983,28.27662626,60.42602758,18.5581458,41.6756328,51.67317275,41.09947619,41.08592006,40.43586976,47.27108239,31.47400647,15.39446493,25.36549553,36.62787438,55.19187167,20.74762517,36.57002868,19.39725057,61.68539621,46.9276245,44.87239002,16.11052132
"EPHA1",2041,2.227155864,9.040775068,5.023158562,5.49724492,6.952985094,41.16484898,10.56985668,18.28410765,11.88594909,8.378259633,14.54700664,11.48837597,4.735867363,164.4146406,6.664779922,12.08409414,17.32965847,13.37860822,7.405648581,18.69327884,3.623642219,4.25905516,7.075880984,11.72691857,6.73658423,5.388125157,8.508330512,6.703946357,11.2180975,14.21516587
"EWSR1",2130,1547.873325,1515.83662,1401.461239,1623.519666,1673.68284,1401.829992,1278.952658,1648.796296,1495.468503,1429.54055,1361.823622,1470.512124,1521.160597,1571.803964,1465.140786,1732.053493,1571.222368,1672.326028,1261.737377,1618.618027,1591.684845,1339.046942,1856.003582,1500.143507,1520.543298,1688.638424,1870.769171,1733.640528,1806.976629,1680.232606
"EXOC3L2",90332,5.567889659,2.009061126,7.032421987,3.664829947,1.98656717,8.900507889,13.21232085,13.98196468,8.644326609,9.425542087,3.357001532,5.302327372,3.78869389,46.03609936,6.664779922,4.028031378,0.962758804,5.351443289,4.628530363,8.796837102,2.717731664,2.555433096,0.707588098,0,1.924738351,0,6.381247884,5.363157085,2.588791732,4.738388624
"FLI1",2313,172.6045794,219.9921933,303.3987772,151.1742353,133.1000004,179.1227213,254.9977924,215.1071489,128.5843583,138.2412839,258.489118,168.7907547,142.0760209,136.2292736,362.1197091,261.0164333,166.5572731,105.2450514,165.701387,217.7217183,108.7092666,191.6574822,117.4596243,126.2898923,76.98953406,134.7031289,124.4343337,144.8052413,112.180975,170.5819905
"FOXP1",27086,1298.431869,1114.024395,1096.053198,1006.912028,1180.020899,725.3913929,865.4070156,673.2853759,875.2380691,1030.525935,961.2214388,1075.488735,998.3208401,796.7063725,1123.015417,939.3369174,863.594647,1327.157936,1455.209946,1017.13429,1605.273503,1206.164421,1388.995437,1426.173713,1842.936972,858.8671501,869.9767949,738.7748885,990.6443027,830.1656869
"GLIS1",148979,324.0511782,171.7747263,298.3756186,76.04522139,226.4686573,192.4734831,262.9251849,61.30553742,224.7524918,326.7521257,147.7080674,235.0698468,122.185378,280.9141573,329.9066062,209.4576317,314.8221289,109.7045874,177.7355659,219.9209275,176.6525582,136.2897651,179.0197889,138.9188816,199.2104194,16.16437547,185.0561886,36.20131033,68.1715156,146.8900473
"GLIS3",169792,592.4234598,422.9073671,488.2510123,742.1280642,493.6619417,546.2686717,1001.49392,549.5987653,420.3303814,607.4238234,482.2892202,547.0234405,491.5830323,1070.104432,662.0348056,551.8402988,539.1449302,268.4640717,454.5216816,575.0932255,416.7188552,749.5937082,274.5441822,349.1013452,313.7323513,203.6711309,694.4924781,380.7841531,333.9541334,269.1404738
"GPC2",221914,12.24935725,44.19934478,40.1852685,48.55899679,45.6910449,45.61510293,35.67326629,88.19393103,35.65784726,40.84401571,42.52201941,23.86047317,54.93606141,50.73366051,46.65345946,66.0597146,60.65380464,40.13582467,31.47400647,36.28695304,16.30638999,28.10976406,32.54905253,29.76833176,12.51079928,87.28762755,20.20728497,104.5815632,88.01891888,73.91886253
"HNF1A",6927,84.63192282,52.23558928,105.4863298,32.98346952,87.40895547,78.99200751,114.9471914,44.09696552,102.6513785,117.2956349,63.78302912,74.2325832,40.72845932,92.07219871,75.53417245,65.25410833,80.87173952,62.43350504,52.76524614,57.17944116,67.94329161,34.92425232,60.85257646,60.43873419,44.26898208,17.2420005,68.0666441,30.83815324,34.51722309,76.76189571
"HNF4A",3172,16.70366898,13.05889732,17.07873911,8.24586738,11.91940302,2.225126972,13.21232085,3.226607233,10.80540826,16.75651927,8.952004086,24.7441944,17.04912251,57.31024614,26.65911969,12.08409414,12.51586445,34.78438138,13.88559109,18.69327884,24.45958498,17.88803167,49.53116689,28.86626111,29.83344445,1.077625031,12.76249577,4.022367814,3.451722309,20.84890995
"HSF2",3298,200.4440277,230.037499,148.6854934,194.2359872,232.4283589,165.7719594,108.341031,115.0823246,148.0340932,148.7141085,143.2320654,212.9768161,206.483817,125.8946391,157.7331248,186.0950497,119.3820917,255.9773707,245.3121092,150.6458354,256.372687,229.9889787,255.4393035,304.8998829,289.6731219,246.7761322,177.6113994,185.0289194,267.508479,151.628436
"HSP90AB4P",664618,63.47394212,67.30354773,83.38443213,61.3859016,100.3216421,143.5206897,75.31022884,159.1792902,110.2151643,84.82987878,107.424049,83.06979549,102.294735,63.88683176,69.98018918,66.86532088,72.20691029,34.78438138,50.91383399,71.47430145,45.29552774,28.10976406,16.98211436,23.45383715,33.68292115,73.27850214,38.2874873,73.74340993,55.22755694,108.0352606
"INPP5D",3635,491.087868,497.2426288,555.561337,513.0761925,354.6022398,386.0595297,475.6435505,582.9403734,410.6055139,543.5395937,954.5074357,590.3257807,485.8999915,256.4868393,722.0178249,609.0383444,450.5711202,382.6281952,346.2140711,273.8015548,258.1845081,710.4104008,367.2382231,287.7605404,83.72611829,723.0863961,155.2770318,769.6130418,666.1824056,498.4784832
"IRF3",3661,248.3278788,309.3954135,277.2783526,330.7509027,286.0656724,293.7167603,310.4895399,402.2503684,395.4779424,309.9956064,330.1051507,291.6280054,195.1177354,457.5424569,265.4804002,319.0200852,275.3490179,237.2473192,271.2318793,214.4229044,272.679077,245.3215772,344.5954039,296.781247,164.5651291,438.5933878,338.2061379,411.6223063,393.4963432,414.1351657
"IRF9",10379,364.1399837,395.7850419,378.7461556,510.3275701,310.8977621,449.4756484,416.1881067,630.2639462,462.4714736,353.9814695,428.5771956,418.8838624,458.4319607,326.9502567,465.4237979,687.1821531,519.8897541,372.8172158,332.3284801,389.2600418,325.2218892,542.6036274,205.2005485,309.4102362,204.0222653,717.6982709,412.6540298,532.2933407,319.2843136,405.6060662
"KLC3",147700,81.29118903,49.2219976,69.31958816,41.2293369,86.41567188,56.74073779,76.63146092,40.87035828,86.44326609,116.2483524,51.4740235,49.4883888,52.09454099,164.4146406,47.76425611,64.44850205,69.31863388,51.73061846,52.76524614,68.17548754,48.0132594,53.66409502,54.48428358,45.10353298,54.85504302,26.94062579,38.2874873,16.08947126,48.32411233,53.06995259
"KLF13",51621,2159.22761,2796.613088,2902.381017,5204.974732,3770.504488,4219.953303,2750.805201,5118.474607,3738.671258,2772.156656,3736.342706,2541.582254,2510.956876,3047.77768,2176.050645,2146.940725,3034.61575,3056.566025,2869.688825,3108.582311,2743.09716,3012.003809,2921.631258,3527.998349,2648.439972,7491.649219,2836.464685,5754.667553,4360.388207,3269.488151
"LEF1",51176,175.9453132,77.34885336,270.2459307,94.36937112,98.3350749,193.5860466,228.5731507,153.8016114,103.7319193,146.6195436,129.8040593,126.3721357,56.83040836,120.2575657,294.3611132,99.08957191,165.5945143,64.21731947,116.6389651,151.74544,73.37875493,71.5521267,67.92845745,50.51595693,50.04319714,70.04562704,116.9895445,85.81051337,66.44565445,113.721327
"LILRA1",11024,18.93082484,34.15403915,40.1852685,37.56450695,8.939552264,11.12563486,9.248624594,44.09696552,15.12757157,34.56032099,55.95002554,35.34884915,48.3058471,17.8507324,14.4403565,57.19804557,25.9944877,23.18958759,21.29123967,9.896441739,19.02412165,45.1459847,29.01111203,14.43313055,0.962369176,99.14150289,4.254165256,26.81578543,36.24308425,37.90710899
"MAF",4094,959.9041773,835.7694286,1106.099515,669.7476727,568.1582105,673.1009091,1093.980166,927.1118116,652.646659,943.6014911,999.2674561,1034.837559,693.330982,529.8848987,893.0805096,644.4850205,991.641568,595.7940195,508.2126338,506.917738,657.6910627,662.708983,630.4609957,673.8467827,513.9051398,503.2508897,402.0186167,560.4499154,605.7772652,519.3273932
"MAFG",4097,1403.108194,1265.70851,1173.40984,971.1799358,1311.134332,1221.594708,1959.387182,1125.010389,1281.52142,1812.845928,1163.760531,1088.744554,1030.524738,2000.221541,1049.702838,1167.323493,1395.037507,1785.598244,1203.417894,1301.931891,1114.269982,952.3247339,1105.25261,1363.930837,1232.794914,712.3101458,1242.216255,805.8143521,814.6064649,1363.708246
"MAFK",7975,434.2953934,795.588206,521.4038588,1487.920958,1941.869408,1634.355761,1005.457617,3046.992764,1746.153975,564.4852428,1257.756574,574.4187986,1310.888086,1584.957135,755.3417245,951.4210116,1026.300885,953.4488127,837.7639957,910.47264,567.1000073,866.2918196,602.8650598,718.048245,498.507233,1787.779927,730.6528827,1684.031325,906.0771061,1956.954502
"MEF2A",4205,1498.875896,1529.900048,1188.479316,1456.769904,1103.538063,1130.364502,1222.139678,715.23127,1012.466754,1145.727005,1033.956472,1457.256306,1235.114208,934.8146706,1131.90179,1110.931054,1088.880207,1296.83309,1323.759684,1032.528755,1917.812644,1592.88663,1616.131217,1730.171525,1993.066563,1398.757291,1281.567283,882.2393406,1115.769236,897.4508054
"MEPCE",56257,521.1544721,611.759113,698.2190402,483.7575529,652.5873152,789.9200751,860.1220872,622.7351959,698.0293737,950.9324683,635.5922901,576.1862411,453.6960934,905.6897914,593.1654131,576.0084871,601.7242524,791.1216996,507.2869278,615.7785971,634.1373883,462.5333904,663.7176363,809.1573816,609.1796882,688.6023951,572.1852269,636.8749039,463.39372,703.1768718
"MIR4531",100616355,2.227155864,1.004530563,2.009263425,1.832414973,0.993283585,1.112563486,1.321232085,2.151071489,3.241622478,1.047282454,0,1.767442457,0.947173473,0.939512232,3.332389961,2.416818827,1.925517608,0.891907215,0.925706073,2.199209275,0.905910555,0.851811032,0.707588098,0,0,0,0,1.340789271,0,0.947677725
"MIR6843",102465508,24.4987145,11.04983619,12.05558055,14.65931979,11.91940302,21.13870624,36.99449838,5.377678721,11.88594909,19.89836663,15.66600715,21.20930949,14.20760209,22.54829356,18.88354311,20.94576317,11.55310565,12.48670101,12.95988502,19.79288348,9.059105547,8.518110321,3.537940492,1.804141319,5.774215054,7.54337522,31.90623942,5.363157085,11.2180975,13.26748815
"MIR8085",102465879,0,0,1.004631712,0,0,0,1.321232085,0,0,2.094564908,1.119000511,0,0,6.576585622,2.221593307,4.028031378,0.962758804,0.891907215,0,0,0.905910555,0.851811032,0.707588098,0,0.962369176,0,0,1.340789271,1.725861155,1.89535545
"MLXIPL",51085,659.2381357,445.0070395,531.4501759,198.8170246,448.9641803,587.4335206,494.1407997,290.394651,466.7936369,872.3862843,313.320143,541.7211131,391.1826442,702.7551494,798.662794,659.7915398,419.7628385,429.8992776,243.4606971,495.9216916,373.2351486,373.9450431,298.6021775,374.3593237,278.1246918,278.0272581,477.53005,222.571019,291.6705351,428.3503316
"NECTIN2",5819,371.9350292,257.1598242,361.6674165,304.1808856,251.300747,302.6172682,450.5401409,279.6392935,222.5914102,280.6716977,240.5851098,313.7210362,233.0046743,460.3609936,450.9834414,561.5075741,367.7738631,351.4114427,315.6657707,363.9691351,167.5934526,298.9856723,263.9303607,282.3481164,255.9902007,261.8628826,589.201888,304.3591646,277.0007153,395.1816112
"NFATC2",4773,240.5328333,292.3183939,357.6488896,341.7453925,166.8716423,131.2824914,220.6457582,239.844471,156.6784198,225.1657276,311.082142,242.1396166,248.1594498,99.58829657,228.8241107,281.1565902,169.4455495,161.4352059,112.0104348,170.4387188,96.0265188,260.6541758,147.1783245,98.32570189,96.23691757,243.5432571,47.85935913,158.213134,219.1843666,205.6460663
"NFE2",4778,25.61229243,5.022652816,33.15284651,4.581037433,9.932835848,14.46332532,21.13971336,17.20857191,8.644326609,12.56738945,24.61801124,3.534884915,4.735867363,11.27414678,27.76991634,7.250456481,1.925517608,5.351443289,8.331354653,4.398418551,6.341373883,9.369921353,6.368292886,0.90207066,14.43553764,1.077625031,7.444789198,6.703946357,9.49223635,3.790710899
"NFKB1",4790,299.5524637,387.7487974,436.0101632,464.5171957,414.1992549,463.9389737,384.4785367,658.2278755,425.7330855,447.1896079,500.1932283,354.3722127,348.5598379,366.4097704,265.4804002,392.3302563,321.5614405,307.7079891,347.1397772,321.0845542,233.7249231,350.9461452,289.4035322,323.8433668,231.9309714,716.6206459,235.0426304,569.8354403,462.5307894,421.7165875
"NKPD1",284353,63.47394212,40.18122253,69.31958816,47.64278931,46.68432849,64.52868219,63.41914007,63.45660891,59.42974544,133.0048717,40.28401839,60.97676478,51.14736752,108.0439067,74.4233758,54.78122675,100.1269156,89.19072149,32.39971254,85.76916174,56.16645439,34.92425232,46.70081449,49.61388627,53.89267384,19.39725057,56.36768964,44.24604596,43.14652886,108.0352606
