"","EntrezID","X21.1A.AD","X20.1T.AD","X23.2A.AD","X22.2T.AD","X26.3A.AD","X24.3T.AD","X27.5A.AD","X25.5T.AD","X29.6T.AD","X31.7T.AD","X28.8T.AD","X30.9T.AD","X18.10A.Old","X11.10T.Old","X19.11A.Old","X13.11T.Old","X15.13T.Old","X16.14T.Old","X12.6A.Old","X14.7A.Old","X10.8A.Old","X17.9A.Old","X2.12A.Young","X4.13A.Young","X6.14A.Young","X8.15A.Young","X9.16A.Young","X3.17T.Young","X5.18T.Young","X7.19T.Young"
"KIAA1324",57535,648.1023564,691.1170275,527.431649,462.6847808,546.3059717,288.1539429,560.202404,269.9594718,557.5590663,599.0455637,457.6712089,786.5118935,560.7266958,795.7668603,543.1795637,513.9768039,611.3518404,705.498607,772.9645706,548.7027142,837.9672631,650.7836285,648.8582862,856.9671266,970.0681291,121.7716286,816.7997292,167.5986589,228.676603,629.2580093
"NDUFA13",51079,889.7487676,1091.924722,845.8999019,1036.230667,984.3440326,826.6346702,965.820654,885.1659176,1020.03054,862.9607422,813.5133713,1021.58174,1394.239352,1035.342479,830.875897,958.671468,916.5463813,1462.727832,1109.921581,891.7793612,1280.957524,1348.416864,1575.091107,1519.086991,1442.591394,1091.634157,1174.149611,1131.626145,1131.301987,1161.852891
"CARS2",79587,410.9102569,299.3501078,372.7183653,312.4267529,369.5014936,379.3841488,325.0230929,363.5310816,341.450901,481.7499289,276.3931262,297.814054,207.4309905,308.160012,249.9292471,283.573409,326.3752345,227.4363398,347.1397772,306.7896939,264.525882,241.9143331,232.7964844,295.8791763,249.2536165,275.872008,365.858212,311.063111,293.3963963,308.9429383
"CBWD5",220869,12.24935725,28.12685577,13.06021226,21.07277219,20.85895528,7.787944402,11.89108876,9.679821699,9.724867435,19.89836663,4.476002043,16.79070334,17.99629598,31.94341588,26.65911969,17.72333806,13.47862325,16.05432987,12.95988502,13.19525565,30.80095886,18.73984271,14.15176197,9.922777255,10.58606093,18.31962553,9.571871826,12.06710344,16.39568097,11.3721327
"SOD3",6649,388.6386982,125.5663204,306.4126723,213.4763444,234.414926,106.8060947,454.5038372,171.0101833,164.2422056,315.2320187,212.6100971,387.9536194,224.480113,624.7756341,396.5544054,372.1900994,449.6083614,219.4091749,298.0773554,359.5707165,192.9589482,268.3204751,130.9037982,120.8774684,164.5651291,171.34238,258.4405393,187.710498,128.576656,308.9429383
"MRGPRF-AS1",101928200,2.227155864,3.013591689,4.01852685,0.916207487,1.98656717,12.23819835,2.64246417,5.377678721,1.080540826,4.189129816,1.119000511,0.883721229,0,2.818536695,2.221593307,2.416818827,0.962758804,0.891907215,0.925706073,1.099604638,0,1.703622064,1.415176197,2.706211979,0,0,1.063541314,0,0.862930577,1.89535545
"AAED1",195827,41.20238348,42.19028365,32.1482148,43.97795936,33.77164188,37.82715853,38.31573046,26.88839361,30.25514313,32.46575608,38.04601737,27.39535809,26.52085723,20.6692691,36.65628957,46.72516399,33.69655813,27.64912366,21.29123967,39.58576696,38.95415385,65.58944947,34.67181682,44.20146232,30.79581362,61.42462679,29.77915679,29.49736397,56.9534181,26.53497629
"GFI1",2672,4.454311728,2.009061126,2.009263425,8.24586738,0,11.12563486,3.963696255,8.604285954,1.080540826,2.094564908,2.238001022,0,4.735867363,8.455610086,6.664779922,7.250456481,3.851035215,5.351443289,2.777118218,2.199209275,7.247284438,3.407244128,0.707588098,1.804141319,1.924738351,7.54337522,3.190623942,8.044735628,5.177583464,8.529099523
"JPH2",57158,8.908623455,24.10873352,43.19916364,85.20729626,49.66417924,57.85330128,30.38833795,151.6505399,44.30217387,36.65488589,49.23602247,43.3023402,41.6756328,34.76195258,48.87505276,70.08774598,29.84552292,32.10865974,22.21694574,34.08774377,7.247284438,85.18110321,28.30352394,25.25797847,24.05922939,187.5067555,28.71561548,57.65393867,88.01891888,98.55848338
"OR2T27",403239,0,0,0,0,0.993283585,0,0,0,0,0,0,0,0,0,2.221593307,0,0,1.78381443,0,0,0,0,0.707588098,0,0.962369176,0,1.063541314,0,0,0.947677725
"KPNA2",3838,206.0119174,298.3455773,169.7827594,201.5656471,229.4485081,91.23020586,149.2992256,114.0067889,179.3697771,181.1798646,171.2070782,267.7675323,175.2270924,234.8780579,138.8495817,231.2090011,186.7752079,396.8987106,284.1917643,186.9327884,300.7623042,386.7222086,381.389985,488.0202268,455.2006201,293.1140085,231.8520065,201.1183907,256.2903814,156.3668246
"CDC14A",8556,229.397054,108.4893008,272.2551941,105.363861,118.2007466,166.8845229,268.2101132,96.79821699,125.3427358,189.5581242,157.779072,150.2326089,163.8610108,86.43512532,223.2701274,160.3156489,157.8924438,90.97453592,164.7756809,201.2276487,106.8974455,97.95826869,108.9685672,76.67600606,61.59162725,74.35612717,115.9260032,87.15130264,113.0439056,90.97706158
"MS4A7",58475,257.2365023,90.40775068,133.6160178,255.6218888,83.43582113,51.17792036,100.4136384,77.43857359,21.61081652,104.7282454,193.5870884,99.86049884,132.6042862,39.45951373,124.4092252,111.173666,67.39311627,55.29824732,127.747438,40.6853716,33.51869053,137.1415762,45.9932264,66.75322881,20.20975269,94.83100277,20.20728497,179.6657624,67.30858503,65.38976301
"ACADS",35,97.99485801,157.7112984,169.7827594,211.6439294,165.8783587,160.209142,177.0450994,214.0316131,183.6919404,111.0119401,123.0900562,182.9302943,201.7479497,197.2975687,223.2701274,299.6855345,214.6952133,198.8953089,125.8960259,247.4110435,161.2520787,152.4741747,188.9260223,121.779539,89.50033334,423.5066374,276.5207416,501.4551875,321.8731053,195.2216113
"CCNA2",890,125.8343063,40.18122253,57.26400761,37.56450695,70.52313452,81.21713448,79.27392509,65.6076804,45.3827147,121.4847647,46.99802145,69.81397706,17.99629598,52.61268498,23.32672973,19.33455062,30.80828172,22.29768037,65.72513115,36.28695304,19.9300322,30.66519716,21.22764295,24.35590781,17.32264516,18.31962553,25.52499154,57.65393867,59.54220983,57.80834121
"ZNRF4",148066,0,0,1.004631712,1.832414973,0.993283585,0,1.321232085,1.075535744,1.080540826,1.047282454,0,0.883721229,1.894346945,2.818536695,1.110796654,2.416818827,0.962758804,5.351443289,0,1.099604638,1.811821109,2.555433096,0.707588098,1.804141319,0.962369176,0,3.190623942,0,0.862930577,0.947677725
"LOC441204",441204,56.79247453,54.24465041,50.23158562,46.72658182,64.56343301,99.01815026,77.95269301,16.13303616,56.18812296,56.55325252,48.11702196,60.09304355,86.19278601,24.42731803,37.76708623,49.14198282,31.77104053,55.29824732,61.09660079,76.97232464,139.5102254,61.33039431,56.60704787,62.24287551,67.3658423,21.55250063,75.5114333,8.044735628,16.39568097,45.48853079
"UCHL1-AS1",101410542,3.340733796,2.009061126,2.009263425,1.832414973,1.98656717,4.450253944,0,0,1.080540826,6.283694725,2.238001022,3.534884915,2.841520418,6.576585622,5.553983269,3.222425103,0.962758804,5.351443289,1.851412145,0,5.435463328,0.851811032,2.830352394,2.706211979,9.623691757,1.077625031,7.444789198,0,0.862930577,0
"MMP24-AS1",101410538,342.982003,458.0659368,329.5192017,331.6671102,444.991046,384.9469662,429.4004276,382.890725,457.0687694,385.3999431,389.4121778,376.4652434,491.5830323,687.7229536,459.8698146,455.1675458,541.0704478,735.8234523,419.3448509,558.599156,537.204959,476.1623669,547.6731882,602.5832006,486.9588029,281.2601332,757.2414156,252.068383,336.5429251,506.059905
"CYP19A1",1588,0,2.009061126,2.009263425,0,0.993283585,1.112563486,1.321232085,2.151071489,0,1.047282454,11.19000511,1.767442457,0.947173473,0.939512232,4.443186615,1.611212551,0.962758804,1.78381443,4.628530363,0,0.905910555,2.555433096,0,4.510353298,1.924738351,8.621000251,1.063541314,8.044735628,5.177583464,1.89535545
"CCL3",6348,3.340733796,3.013591689,33.15284651,0,0.993283585,0,0,2.151071489,0,2.094564908,10.0710046,2.651163686,2.841520418,0.939512232,0,8.056062757,6.739311627,1.78381443,5.554236435,1.099604638,1.811821109,4.25905516,4.953116689,3.608282638,1.924738351,3.232875094,3.190623942,0,2.588791732,1.89535545
"LOC401585",401585,45.65669521,33.14950858,37.17137336,19.24035722,34.76492547,16.68845229,31.70957004,12.90642893,52.94650048,49.22227534,44.76002043,41.53489775,33.15107154,52.61268498,34.43469626,46.72516399,51.98897541,34.78438138,25.91977003,38.48616232,44.38961718,23.8507089,12.02899767,28.86626111,46.19372044,2.155250063,49.98644176,4.022367814,10.35516693,65.38976301
"AAK1",22848,4802.86162,4226.060079,3747.276288,2430.698462,3983.067175,3747.113821,3633.388233,1956.399519,3144.373804,4916.991122,2685.601226,4433.629404,3539.587267,3917.766006,3744.49552,3218.397071,3461.1179,4221.396848,4781.271865,3562.719026,5686.400552,3870.62933,3989.381699,4990.254889,5873.33908,1774.848427,3408.649911,1767.16026,2173.722124,2917.899715
"BLNK",29760,50.11100693,49.2219976,58.26863932,22.90518717,22.84552245,20.02614275,34.35203421,58.07893019,29.1746023,45.03314553,66.02103014,64.51164969,50.20019405,3.758048927,66.64779922,56.3924393,43.32414617,38.35201024,35.17683076,16.49406957,42.57779607,51.96047296,37.50216921,47.80974496,18.28501434,109.9177532,5.31770657,37.5420996,63.85686272,53.06995259
"SLC35E3",55508,91.31339041,130.5889732,117.5419104,180.4928749,117.207463,140.1829992,116.2684235,141.9707182,127.5038175,109.9646577,142.1130649,115.767481,118.3966841,99.58829657,106.6364788,144.2035233,141.5255442,157.867577,97.19913762,104.4624406,132.262941,126.0680328,146.4707364,110.0526205,130.8822079,211.2145062,145.70516,215.8670727,215.7326443,135.5179146
"ZAN",7455,0,0,0,0.916207487,0,0,0,1.075535744,0,1.047282454,0,0,0.947173473,12.21365901,0,1.611212551,0,0,0,0,0.905910555,0,0.707588098,0,0,0,2.127082628,1.340789271,0,0
"THEM4",117145,119.1528387,79.35791449,128.5928592,116.3583508,157.93209,159.0965785,100.4136384,137.6685753,81.04056196,139.2885664,91.75804188,104.279105,112.7136432,102.4068333,104.4148854,124.8689727,117.4565741,111.4884019,124.0446137,193.5304162,136.7924938,141.4006313,113.9216838,125.3878217,157.8285448,198.2830058,138.2603708,162.2355018,114.7697668,118.4597156
"NBAT1",729177,43.42953934,38.1721614,34.15747822,50.39141177,59.59701509,51.17792036,42.27942671,67.75875189,70.2351537,40.84401571,52.59302401,58.32560109,59.67192878,62.94731953,49.98584942,35.44667613,51.98897541,68.67685555,49.98812792,53.88062725,64.31964939,43.44236264,59.43740027,72.16565276,62.55399642,20.4748756,69.13018541,38.88288887,37.10601482,65.38976301
"RNF41",10193,900.8845469,1056.766152,846.9045336,573.5458866,959.511943,768.7813689,996.208992,485.0666207,771.5061498,898.5683456,791.1333611,873.1165739,812.6748395,928.238085,583.1682432,735.5185297,684.5215095,1257.589173,903.4891268,665.2608058,1262.839313,883.3280403,1253.138522,1485.710376,1362.714753,534.5020156,917.836154,463.9130879,644.6091412,635.8917533
