,gene/TF,region
1139944,DMRTA2,DLPFC
1139951,ZNF683,DLPFC
1139991,HES7,DLPFC
1139996,TFAP2D,DLPFC
1140008,DMBX1,DLPFC
1140014,ZBTB33,DLPFC
1140016,TWIST2,DLPFC
1140021,HOXB5,DLPFC
1140022,BCL6B,DLPFC
1315672,NOTO,DLPFC
1315719,GFI1,DLPFC
1315731,GATA3,DLPFC
1315735,MLX,DLPFC
1315736,NKX6-1,DLPFC
1315737,TEF,DLPFC
1315738,POU3F2,DLPFC
1315741,GSC2,DLPFC
1315742,HIC2,DLPFC
1315748,LHX4,DLPFC
1315751,RORA,DLPFC
1315755,MYBL2,DLPFC
1315756,ALX3,DLPFC
1315757,RARB,DLPFC
1315765,EVX2,DLPFC
1315766,NFYA,DLPFC
1315767,PBX1,DLPFC
1641153,NR5A1,DLPFC
1641163,MNX1,DLPFC
1641220,YY2,DLPFC
1641228,ARID3C,DLPFC
1641254,HOXD9,DLPFC
1641255,MEIS2,DLPFC
1641258,NFIX,DLPFC
1641265,THRA,DLPFC
1641281,USF2,DLPFC
1641284,NFE2L1,DLPFC
1641288,ESRRA,DLPFC
1641320,CEBPE,DLPFC
1641321,NR1H2,DLPFC
1641322,TFE3,DLPFC
1641325,HIVEP2,DLPFC
1914003,SOX4,DLPFC
1914007,BRCA1,DLPFC
1914049,TP73,DLPFC
1914066,ZBTB42,DLPFC
1914070,SRY,DLPFC
1914079,FOXG1,DLPFC
1914083,MAX,DLPFC
1914090,ELF4,DLPFC
1914092,FLI1,DLPFC
1914100,IKZF1,DLPFC
1914104,NFATC2,DLPFC
1914105,NFE2,DLPFC
1914111,SMAD3,DLPFC
1914114,SPI1,DLPFC
1914125,TCF7L2,DLPFC
1914126,TAL2,DLPFC
1914128,SOX11,DLPFC
1914129,FOXP3,DLPFC
1914130,MAFK,DLPFC
1914137,VDR,DLPFC
1914157,EP300,DLPFC
1914158,FOXM1,DLPFC
1914159,NKX2-1,DLPFC
1914160,NKX3-1,DLPFC
1914161,STAT1,DLPFC
1914164,ARID5A,DLPFC
1914165,ZIC5,DLPFC
1914168,ETV6,DLPFC
1914171,NR0B1,DLPFC
1914177,BACH2,DLPFC
1914178,KLF8,DLPFC
1914186,SPDEF,DLPFC
1914187,TBP,DLPFC
1914189,ARID5B,DLPFC
1914190,PPARD,DLPFC
1914191,HEY2,DLPFC
1914192,MEIS1,DLPFC
1914193,HNF1A,DLPFC
1914197,TBX1,DLPFC
1914200,TFAP2C,DLPFC
1914203,CEBPB,DLPFC
1914205,HIVEP3,DLPFC
1914208,FOSB,DLPFC
1914210,JUNB,DLPFC
1914215,MYC,DLPFC
1914217,SOX2,DLPFC
1914220,HES1,DLPFC
1914221,TCF15,DLPFC
1914224,MESP2,DLPFC
1914225,KLF7,DLPFC
1914227,RELB,DLPFC
1914228,PKNOX2,DLPFC
1914229,SNAI2,DLPFC
1914231,CREB3L2,DLPFC
1914233,KLF10,DLPFC
1914235,XBP1,DLPFC
1914237,ELK1,DLPFC
1914240,ETV3,DLPFC
1914241,NFATC3,DLPFC
1914244,JUND,DLPFC
1914248,LHX6,DLPFC
1914249,RUNX2,DLPFC
1914250,SOX9,DLPFC
1914252,GLI2,DLPFC
1914253,SOX18,DLPFC
1914258,BHLHE41,DLPFC
